cep,logradouro,complemento,bairro,id_cidade,id_estado,lat,lon
12324220,"Rua Expedicionário Antônio Paulista","","Jardim do Portal",4595,26,-23.3125005,-46.0042616
12324230,"Rua Professora Vera Lúcia Magalhães de Oliveira Borrego","","Jardim do Portal",4595,26,-23.2987827,-45.9662542
12324240,"Rua Benedito Ferreira de Araújo","","Jardim do Portal",4595,26,-23.3120128,-46.0053501
12324250,"Rua Oito de Maio","","Jardim do Portal",4595,26,-23.3186800081,-45.9808952868
12324260,"Rua Avelino Esmerio da Silva","","Jardim do Portal",4595,26,-23.3114085,-46.003754
12324270,"Rua Zenji Yamaguchi","","Jardim do Portal",4595,26,-23.3108611,-46.003778
12324280,"Rua Benedito Marcolino de Souza","","Jardim do Portal",4595,26,-23.3108814,-46.0051183
12324290,"Rua José Pinto de Oliveira","","Jardim do Portal",4595,26,-23.3103173,-46.0041875
12324300,"Rua Almerinda Pereira Gonçalves","","Jardim do Portal",4595,26,-23.3103224,-46.0050261
12324310,"Rua Francisco José dos Santos","("xiquinho")","Jardim do Portal",4595,26,-23.3098832,-46.0049569
12324320,"Avenida Rodrigo Melo Franco Andrade","","Jardim Nova Esperança",4595,26,-23.3131978,-46.0084521
12324325,"Rua Joaquim Machado de Lima","","Jardim Nova Esperança",4595,26,-23.3087269,-46.0050478
12324330,"Avenida Mário de Andrade","","Jardim Nova Esperança",4595,26,-23.3131978,-46.0084521
12324340,"Rua Graciliano Ramos","","Jardim Nova Esperança",4595,26,-23.3141777,-46.0112437
12324350,"Avenida Sebastião Lopes","","Jardim Nova Esperança",4595,26,-23.3110632,-46.0096531
12324360,"Rua Miguel Couto","","Jardim Nova Esperança",4595,26,-23.314427,-46.0117569
12324370,"Rua Graça Aranha","","Jardim Nova Esperança",4595,26,-23.3131334,-46.0095289
12324380,"Rua Lima Barreto","","Jardim Nova Esperança",4595,26,-23.3120548,-46.0073689
12324390,"Rua Teodoro Sampaio","","Jardim Nova Esperança",4595,26,-23.3114335,-46.0073847
12324400,"Rua Roquete Pinto","","Jardim Nova Esperança",4595,26,-23.3126541,-46.0098156
12324410,"Rua Manoel Bandeira","","Jardim Nova Esperança",4595,26,-23.3119889,-46.0097049
12324420,"Avenida Hercílio dos Santos","","Jardim Nova Esperança",4595,26,-23.305,-45.981091272
